"chr","start","end","gene","peakWidth"
"chr17",79933230,79933730,"TBC1D16",500
"chr15",41557335,41557835,"TYRO3",500
"chr7",75530855,75531355,"HIP1",500
"chr6",85451662,85452162,"NT5E",500
"chr16",87830977,87831477,"SLC7A5",500
"chr1",89180859,89181359,"GBP4",500
"chr19",796198,796698,"PTBP1",500
"chr16",68637165,68637665,"CDH3",500
"chr1",21215254,21215754,"ECE1",500
"chr4",1791851,1792351,"FGFR3",500
"chr12",47972801,47973301,"COL2A1",500
"chrX",2830518,2831018,"GYG2",500
"chr1",168079731,168080231,"GPR161",500
"chr14",69854299,69854799,"SMOC1",500
"chr1",89179135,89179635,"GBP4",500
"chr6",89096450,89096950,"SRSF12",500
"chr17",8472783,8473283,"MYH10",500
"chrX",132023824,132024324,"STK26",500
"chr10",22533587,22534087,"PIP4K2A",500
"chr5",122314333,122314833,"SNCAIP",500
"chr16",51136220,51136720,"SALL1",500
"chr17",62968258,62968758,"TANC2",500
"chr6",47228723,47229223,"TNFRSF21",500
"chr6",47230779,47231279,"TNFRSF21",500
"chr3",186046198,186046698,"ETV5",500
"chr18",10457428,10457928,"APCDD1",500
"chr20",2791380,2791880,"CPXM1",500
"chr16",28257808,28258308,"SBK1",500
"chr9",113875061,113875561,"ZNF618",500
"chr9",113221638,113222138,"SLC31A1",500
"chr10",15514172,15514672,"ITGA8",500
"chr1",43990658,43991158,"SLC6A9",500
"chr1",29238693,29239193,"PTPRU",500
"chr20",62460958,62461458,"GATA5",500
"chr3",48158248,48158748,"CDC25A",500
"chr21",33644881,33645381,"ITSN1",500
"chr5",147390745,147391245,"DPYSL3",500
"chr17",73335578,73336078,"SDK2",500
"chr9",115019860,115020360,"TNC",500
"chr19",8063085,8063585,"FBN3",500
"chr9",114332599,114333099,"AKNA",500
"chr19",29813228,29813728,"CCNE1",500
"chr9",115017898,115018398,"TNC",500
"chr7",69600195,69600695,"AUTS2",500
"chr20",62463967,62464467,"GATA5",500
"chr5",150295929,150296429,"ARSI",500
"chr1",53242106,53242606,"LRP8",500
"chr18",316644,317144,"COLEC12",500
"chr7",101364817,101365317,"COL26A1",500
"chr16",51135076,51135576,"SALL1",500
"chr22",21416844,21417344,"HIC2",500
"chr7",150991507,150992007,"NOS3",500
"chr17",4586060,4586560,"SMTNL2",500
"chr3",13314644,13315144,"NUP210",500
"chr1",156722582,156723082,"ISG20L2",500
"chr1",157993335,157993835,"KIRREL1",500
"chr7",105439326,105439826,"PUS7",500
"chr16",51133524,51134024,"SALL1",500
"chrX",71256641,71257141,"NONO",500
"chr17",55718592,55719092,"TMEM100",500
"chr5",34658860,34659360,"RAI14",500
"chr2",68859531,68860031,"BMP10",500
"chr9",115018867,115019367,"TNC",500
"chr5",147390437,147390937,"DPYSL3",500
"chr11",119094743,119095243,"DPAGT1",500
"chr8",121611875,121612375,"HAS2",500
"chr9",128455035,128455535,"ODF2",500
"chr19",16111334,16111834,"RAB8A",500
"chr11",125165347,125165847,"PKNOX2",500
"chr7",33904553,33905053,"BMPER",500
"chr16",87831254,87831754,"SLC7A5",500
"chr9",36037199,36037699,"RECK",500
"chr9",115016934,115017434,"TNC",500
"chr10",15511925,15512425,"ITGA8",500
"chr17",8471882,8472382,"MYH10",500
"chr4",108047904,108048404,"LEF1",500
"chr17",1516917,1517417,"PITPNA",500
"chr17",79779146,79779646,"CBX2",500
"chr17",50108860,50109360,"SAMD14",500
"chr15",66703757,66704257,"SMAD6",500
